[DEBUG] 2017-01-19 11:37:44,682 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 11:37:44,682 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 11:39:55,105 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 11:39:55,105 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:36:20,352 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:36:20,352 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:36:37,142 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:36:37,142 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:38:43,018 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:38:43,018 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:52:17,528 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:52:17,528 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:52:45,078 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 12:52:45,078 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 13:13:14,492 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 13:13:14,492 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 14:22:12,281 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 14:22:12,281 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 14:49:08,145 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 14:49:08,145 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 15:09:50,014 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 15:09:50,014 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 15:39:01,280 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-19 15:39:01,280 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-20 09:04:37,503 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
[DEBUG] 2017-01-20 09:04:37,503 uk.gov.dwp.uc.dip.schemagenerator.transformtable.TransformTableGenerator - source table:src_sourcedb_sourcecollection_targettable, target table: targetTable, removed enabled: true
